SexPosID,Label,Type,SemenPattern1,SemenPattern2,SemenPattern3,SemenTarget1,SemenTarget2,SemenTarget3,VoiceLabel1,VoiceLabel2,WaitLabel1,WaitLabel2,dummy
1,*待機,Waiting,,,,,,,Waiting,,,,
2,*待機,Waiting,,,,,,,Waiting,,,,
3,*待機,Waiting,,,,,,,Waiting,,,,
4,*待機,Waiting,,,,,,,Waiting,,,,
5,*待機,Waiting,,,,,,,Waiting,Waiting,,,
6,*待機,Waiting,,,,,,,Waiting,,,,
100,*待機,Waiting,,,,,,,Waiting,,,,
101,*待機,Waiting,,,,,,,Waiting,,,,
102,*待機,Waiting,,,,,,,Waiting,,,,
103,*待機,Waiting,,,,,,,Waiting,,,,
104,*待機,Waiting,,,,,,,Waiting,,,,
105,*待機,Waiting,,,,,,,Waiting,,,,
106,*待機,Waiting,,,,,,,Waiting,,,,
107,*待機,Waiting,,,,,,,Waiting,,,,
108,*待機,Waiting,,,,,,,Waiting,,,,
109,*待機,Waiting,,,,,,,Waiting,,,,
110,*待機,Waiting,,,,,,,Waiting,,,,
111,*待機,Waiting,,,,,,,Waiting,,,,
